"","lsoacode","z"
"1","E01000001",1.54644326409803
"2","E01000002",0.745240191029431
"3","E01000003",4.81180238330098
"4","E01000005",9.26680945732581
"5","E01000006",3.91288973349428
"6","E01000007",10.8092172728163
"7","E01000008",11.7751643186966
"8","E01000009",6.67103842574011
"9","E01000010",11.9147509152567
"10","E01000011",7.48479140045154
"11","E01000012",9.3994733475102
"12","E01000013",4.5232982061524
"13","E01000014",4.09864853907659
"14","E01000015",6.59934503626985
"15","E01000016",3.5164613771367
"16","E01000017",4.03165415525466
"17","E01000018",3.56966980696391
"18","E01000019",4.28452226562119
"19","E01000020",4.37770912133159
"20","E01000021",5.92021209173825
"21","E01000022",3.57566028713125
"22","E01000023",5.21293396195909
"23","E01000024",3.58283861647248
"24","E01000025",3.32943428675111
"25","E01000027",3.40610200093775
"26","E01000028",6.13736878693272
"27","E01000029",0.0815805784510858
"28","E01000030",6.36541253599049
"29","E01000031",0.453989611039422
"30","E01000032",2.57103593710105
"31","E01000033",4.8583192474822
"32","E01000034",2.55581126375074
"33","E01000035",2.65593961597699
"34","E01000036",0.495018399863954
"35","E01000037",0.323294450707927
"36","E01000038",-0.366248637451247
"37","E01000039",-0.408060930242024
"38","E01000040",6.10139319270666
"39","E01000041",4.18939132216565
"40","E01000042",7.98032156969874
"41","E01000043",3.92404382692088
"42","E01000044",4.59157911815547
"43","E01000045",4.81550768002328
"44","E01000046",4.52123656147549
"45","E01000048",12.5959078746281
"46","E01000049",11.2868073940068
"47","E01000050",6.9333551963778
"48","E01000051",11.2754930519863
"49","E01000052",5.10001425729002
"50","E01000053",4.55923671910458
"51","E01000054",3.35875294339022
"52","E01000055",4.59342831007183
"53","E01000056",5.20664627817065
"54","E01000057",4.83929289380656
"55","E01000058",3.5280058008695
"56","E01000059",4.0888852665658
"57","E01000060",4.46443104435738
"58","E01000061",10.3862391802345
"59","E01000062",4.49046569742822
"60","E01000063",3.73659288495057
"61","E01000064",4.13886005330358
"62","E01000065",4.92845983661803
"63","E01000066",2.33195600359514
"64","E01000067",2.32134360764078
"65","E01000068",1.32344305121021
"66","E01000069",-0.645112529508053
"67","E01000070",1.86353289922403
"68","E01000071",2.58958112157334
"69","E01000072",6.13841628501341
"70","E01000073",4.04743317491675
"71","E01000074",4.3587952602611
"72","E01000075",3.3761549589863
"73","E01000076",5.62774188360683
"74","E01000077",4.76624168300504
"75","E01000078",4.86883483466502
"76","E01000079",4.17509235292669
"77","E01000080",4.8459467712839
"78","E01000081",3.10035036450338
"79","E01000082",3.21964645101368
"80","E01000083",4.33245757705839
"81","E01000084",5.06961674308916
"82","E01000085",6.76836852382728
"83","E01000086",4.62891724839806
"84","E01000087",3.8285948635827
"85","E01000088",2.82064533729557
"86","E01000089",2.52546325398381
"87","E01000090",3.35523866423268
"88","E01000091",7.91061019826499
"89","E01000092",6.01455988300892
"90","E01000093",8.05199093413855
"91","E01000094",5.29883589009619
"92","E01000095",5.26569268213946
"93","E01000096",9.20582514619717
"94","E01000097",3.70644663503733
"95","E01000098",5.5983533876779
"96","E01000099",3.49727587002545
"97","E01000100",4.19085812151528
"98","E01000101",3.46817831580234
"99","E01000102",4.02692243354694
"100","E01000103",5.22376953769274
"101","E01000104",6.88802155432127
"102","E01000105",7.42458318391352
"103","E01000106",5.57725447670576
"104","E01000107",1.33657919692647
"105","E01000108",2.49342313608083
"106","E01000109",2.75206239439698
"107","E01000110",-0.389728178633198
"108","E01000111",2.89653201419809
"109","E01000112",3.04501116548566
"110","E01000113",2.79077984388739
"111","E01000114",1.52440685454769
"112","E01000115",-3.02307836573629
"113","E01000116",-1.86869011302498
"114","E01000117",-0.945577326640052
"115","E01000118",-1.09432411296653
"116","E01000119",-1.95886051412092
"117","E01000120",-2.77619522117557
"118","E01000121",4.13456821016049
"119","E01000122",-1.88055698621588
"120","E01000123",-0.0239207838031724
"121","E01000124",3.38901952948512
"122","E01000125",7.32700348407977
"123","E01000126",7.42370804294584
"124","E01000127",5.68679495221021
"125","E01000128",4.47782070960744
"126","E01000129",9.03059814880895
"127","E01000130",4.39146539352913
"128","E01000131",3.70837002098349
"129","E01000132",5.53869365345068
"130","E01000133",5.17394727044145
"131","E01000134",5.97855435793337
"132","E01000135",0.438287843589431
"133","E01000136",-1.4669759893594
"134","E01000137",6.03138577004062
"135","E01000138",2.66499653509076
"136","E01000139",1.51590132136447
"137","E01000140",4.68197917702333
"138","E01000141",7.45185550716301
"139","E01000142",4.10091073303137
"140","E01000143",6.54393616944816
"141","E01000144",4.71112027616804
"142","E01000145",2.84226816687265
"143","E01000146",6.04263980461522
"144","E01000147",1.16292032786992
"145","E01000148",6.02511646932616
"146","E01000150",2.68389563939297
"147","E01000151",10.3230739822662
"148","E01000152",8.98597079524439
"149","E01000153",6.76789289767123
"150","E01000154",7.34927004552679
"151","E01000155",7.44278627277375
"152","E01000156",0.483785196046442
"153","E01000157",2.60620009235683
"154","E01000158",1.64214614117459
"155","E01000159",0.290619385478953
"156","E01000160",-0.0793540915447419
"157","E01000161",2.36571492068094
"158","E01000162",0.565010749747747
"159","E01000163",5.32059645242033
"160","E01000164",4.5572709743518
"161","E01000165",1.61914781203908
"162","E01000166",-0.564338589570895
"163","E01000167",1.3385773875049
"164","E01000168",-3.11388857048425
"165","E01000169",-0.540849993596214
"166","E01000170",1.1059456535439
"167","E01000171",3.01462067354325
"168","E01000172",-2.07289304454709
"169","E01000173",-2.22525742712351
"170","E01000174",2.62814312703133
"171","E01000175",-1.06910201024461
"172","E01000176",3.735190711836
"173","E01000177",-0.197480559189009
"174","E01000178",0.217388145734414
"175","E01000179",-0.233349238244594
"176","E01000180",1.77152394337679
"177","E01000181",1.06675562229239
"178","E01000182",0.912579428524267
"179","E01000183",-0.489582147788748
"180","E01000184",5.25905138508138
"181","E01000185",7.26125147892222
"182","E01000186",-2.40818470884501
"183","E01000187",0.604481837309915
"184","E01000188",-3.33061867366999
"185","E01000189",7.60482636201203
"186","E01000190",-1.44342693425356
"187","E01000191",-2.21657652990478
"188","E01000192",2.12420367676981
"189","E01000193",0.628220463736632
"190","E01000194",3.32157206165628
"191","E01000195",4.84320609919966
"192","E01000196",4.24771439665061
"193","E01000197",2.51534893292833
"194","E01000198",-1.74110703659753
"195","E01000199",-2.31100068402575
"196","E01000200",-0.0512635882448276
"197","E01000201",-2.26768642577016
"198","E01000202",-0.566246104978714
"199","E01000203",2.8879305436651
"200","E01000204",0.242838940291757
"201","E01000205",-2.36516237362145
"202","E01000206",-2.2104600654208
"203","E01000207",-1.37089767838272
"204","E01000208",-1.61762718326202
"205","E01000209",-1.72730320837391
"206","E01000210",-1.32365938436265
"207","E01000211",3.85021133350193
"208","E01000212",-1.33803904700998
"209","E01000213",-2.67264765252512
"210","E01000214",1.14907486417593
"211","E01000215",2.03012431034846
"212","E01000216",2.57892640468404
"213","E01000217",1.2230167730509
"214","E01000218",3.69972124132277
"215","E01000219",5.40936431296928
"216","E01000220",5.29399173632578
"217","E01000221",8.57358177105942
"218","E01000222",3.94337441379028
"219","E01000223",4.33040774671823
"220","E01000224",2.70380348393887
"221","E01000225",0.415338996637154
"222","E01000226",5.13547169295063
"223","E01000227",-0.807927327882907
"224","E01000228",-1.76839361758944
"225","E01000229",2.56743465483941
"226","E01000230",-1.14461146321614
"227","E01000231",0.313990544187512
"228","E01000232",-0.616341868756064
"229","E01000233",-0.953968975657303
"230","E01000234",-0.235298417810932
"231","E01000235",3.6557877729733
"232","E01000236",1.74269374493621
"233","E01000237",3.19794032976398
"234","E01000238",3.75405165978595
"235","E01000239",3.69884287370881
"236","E01000240",1.27085105662779
"237","E01000241",0.19703150017656
"238","E01000242",0.0501206841599687
"239","E01000243",3.52484489820138
"240","E01000244",3.04066520007254
"241","E01000245",6.45384829703508
"242","E01000246",-1.91175048839027
"243","E01000247",-0.340459160332267
"244","E01000248",-0.826397036971822
"245","E01000249",-3.02052371529749
"246","E01000250",0.342007253686125
"247","E01000251",0.904151826171654
"248","E01000252",0.74707279127822
"249","E01000253",-3.59132096509435
"250","E01000254",-2.36231835371587
"251","E01000255",1.30848252946253
"252","E01000256",-1.86097440622365
"253","E01000257",6.20500489686458
"254","E01000258",-1.13446171615817
"255","E01000259",0.0529980862003801
"256","E01000260",1.31055222108261
"257","E01000261",-1.53276586891528
"258","E01000262",0.758051333836306
"259","E01000263",-4.44207789195031
"260","E01000264",1.54881653054202
"261","E01000265",2.354420054449
"262","E01000266",-2.93412374686756
"263","E01000267",-1.71011863311192
"264","E01000268",2.0991306263222
"265","E01000269",-1.77578814664357
"266","E01000270",-2.21202189355802
"267","E01000271",-1.95717751308364
