"","GEOCODE","CDUID.x","GEOLABEL","allHouses","lt1PPerRoom","gt1PPerRoom","pcGt1PPerRoom","CDUID.y","allHouseholds","ownerOccupied","notOO","pcNotOO"
"241","E07000219",1211247,"Nuneaton and Bedworth",52711,52175,536,1.02,1211247,52711,37617,15094,28.64
"242","E07000220",1211248,"Rugby",41875,41428,447,1.07,1211248,41875,29086,12789,30.54
"243","E07000221",1211249,"Stratford-on-Avon",51928,51616,312,0.6,1211249,51928,37304,14624,28.16
"244","E07000222",1211250,"Warwick",58679,58142,537,0.92,1211250,58679,39111,19568,33.35
"245","E07000223",1211251,"Adur",26957,26665,292,1.08,1211251,26957,19883,7074,26.24
"246","E07000224",1211252,"Arun",66706,65877,829,1.24,1211252,66706,49254,17452,26.16
"247","E07000225",1211253,"Chichester",49848,49402,446,0.89,1211253,49848,33481,16367,32.83
"248","E07000226",1211254,"Crawley",42727,41552,1175,2.75,1211254,42727,25228,17499,40.96
"249","E07000227",1211255,"Horsham",54923,54456,467,0.85,1211255,54923,40926,13997,25.48
"250","E07000228",1211256,"Mid Sussex",57409,56822,587,1.02,1211256,57409,42658,14751,25.69
"251","E07000229",1211257,"Worthing",47044,46404,640,1.36,1211257,47044,32621,14423,30.66
"252","E07000234",1211258,"Bromsgrove",38290,38120,170,0.44,1211258,38290,30436,7854,20.51
"253","E07000235",1211259,"Malvern Hills",32212,32005,207,0.64,1211259,32212,23146,9066,28.14
"254","E07000236",1211260,"Redditch",34722,34141,581,1.67,1211260,34722,22796,11926,34.35
"255","E07000237",1211261,"Worcester",42042,41544,498,1.18,1211261,42042,27077,14965,35.6
"256","E07000238",1211262,"Wychavon",49466,49086,380,0.77,1211262,49466,35973,13493,27.28
"257","E07000239",1211263,"Wyre Forest",42985,42650,335,0.78,1211263,42985,30360,12625,29.37
"258","E08000001",1211264,"Bolton",116371,113953,2418,2.08,1211264,116371,74170,42201,36.26
"259","E08000002",1211265,"Bury",78113,77027,1086,1.39,1211265,78113,54395,23718,30.36
"260","E08000003",1211266,"Manchester",204969,197956,7013,3.42,1211266,204969,77395,127574,62.24
"261","E08000004",1211267,"Oldham",89703,86866,2837,3.16,1211267,89703,58259,31444,35.05
"262","E08000005",1211268,"Rochdale",87552,85347,2205,2.52,1211268,87552,54149,33403,38.15
"263","E08000006",1211269,"Salford",103556,101790,1766,1.71,1211269,103556,52126,51430,49.66
"264","E08000007",1211270,"Stockport",121979,120904,1075,0.88,1211270,121979,89316,32663,26.78
"265","E08000008",1211271,"Tameside",94953,93513,1440,1.52,1211271,94953,60558,34395,36.22
"266","E08000009",1211272,"Trafford",94484,93376,1108,1.17,1211272,94484,65440,29044,30.74
"267","E08000010",1211273,"Wigan",136386,135085,1301,0.95,1211273,136386,92559,43827,32.13
"268","E08000011",1211274,"Knowsley",61323,60558,765,1.25,1211274,61323,37896,23427,38.2
"269","E08000012",1211275,"Liverpool",206515,203789,2726,1.32,1211275,206515,96947,109568,53.06
"270","E08000013",1211276,"St. Helens",75736,75034,702,0.93,1211276,75736,50952,24784,32.72
"271","E08000014",1211277,"Sefton",117930,116970,960,0.81,1211277,117930,83137,34793,29.5
"272","E08000015",1211278,"Wirral",140583,139686,897,0.64,1211278,140583,94843,45740,32.54
"273","E08000016",1211279,"Barnsley",100734,99752,982,0.97,1211279,100734,64807,35927,35.67
